seq,ts_code,symbol,name,area,industry,market,list_date
2612,301168.SZ,301168,通灵股份,江苏,电气设备,创业板,20211210
2613,301169.SZ,301169,零点有数,北京,软件服务,创业板,20211103
2614,301171.SZ,301171,易点天下,陕西,互联网,创业板,20220819
2615,301175.SZ,301175,中科环保,北京,环境保护,创业板,20220708
2616,301176.SZ,301176,逸豪新材,江西,元器件,创业板,20220928
2617,301177.SZ,301177,迪阿股份,深圳,服饰,创业板,20211215
2618,301178.SZ,301178,天亿马,广东,软件服务,创业板,20211112
2619,301179.SZ,301179,泽宇智能,江苏,软件服务,创业板,20211208
2620,301180.SZ,301180,万祥科技,江苏,元器件,创业板,20211116
2621,301181.SZ,301181,标榜股份,江苏,汽车配件,创业板,20220221
2622,301182.SZ,301182,凯旺科技,河南,元器件,创业板,20211223
2623,301183.SZ,301183,东田微,湖北,元器件,创业板,20220524
2624,301185.SZ,301185,鸥玛软件,山东,软件服务,创业板,20211119
2625,301186.SZ,301186,超达装备,江苏,专用机械,创业板,20211223
2626,301187.SZ,301187,欧圣电气,江苏,家用电器,创业板,20220422
2627,301188.SZ,301188,力诺特玻,山东,玻璃,创业板,20211111
2628,301189.SZ,301189,奥尼电子,深圳,通信设备,创业板,20211228
2629,301190.SZ,301190,善水科技,江西,染料涂料,创业板,20211224
2630,301191.SZ,301191,菲菱科思,深圳,通信设备,创业板,20220526
2631,301192.SZ,301192,泰祥股份,湖北,汽车配件,创业板,20220811
2632,301193.SZ,301193,家联科技,浙江,家居用品,创业板,20211209
2633,301195.SZ,301195,北路智控,江苏,软件服务,创业板,20220801
2634,301196.SZ,301196,唯科科技,福建,专用机械,创业板,20220111
2635,301197.SZ,301197,工大科雅,河北,软件服务,创业板,20220808
2636,301198.SZ,301198,喜悦智行,浙江,塑料,创业板,20211202
2637,301199.SZ,301199,迈赫股份,山东,专用机械,创业板,20211207
2638,301200.SZ,301200,大族数控,深圳,专用机械,创业板,20220228
2639,301201.SZ,301201,诚达药业,浙江,生物制药,创业板,20220120
2640,301205.SZ,301205,联特科技,湖北,通信设备,创业板,20220913
2641,301206.SZ,301206,三元生物,山东,食品,创业板,20220210
2642,301207.SZ,301207,华兰疫苗,河南,生物制药,创业板,20220218
2643,301208.SZ,301208,中亦科技,北京,软件服务,创业板,20220707
2644,301209.SZ,301209,联合化学,山东,染料涂料,创业板,20220825
2645,301211.SZ,301211,亨迪药业,湖北,化学制药,创业板,20211222
2646,301212.SZ,301212,联盛化学,浙江,化工原料,创业板,20220419
2647,301213.SZ,301213,观想科技,四川,软件服务,创业板,20211206
2648,301215.SZ,301215,中汽股份,江苏,汽车服务,创业板,20220308
2649,301216.SZ,301216,万凯新材,浙江,化工原料,创业板,20220329
2650,301217.SZ,301217,铜冠铜箔,安徽,元器件,创业板,20220127
